1/Belt/44LREQ	10FCR/17FHR/49LIFE/23MANA/8MREG
2/Belt/56LREQ	10FCR/17FHR/10STR/58LIFE/18MANA/9MREG/3OED
3/Belt/85LREQ	10FCR/17FHR/29STR/27LIFE/14MANA/109MREG/8PR
4/Belt/56LREQ	10FCR/17FHR/14STR/38LIFE/16MANA/5MREG/76ED
5/Belt/72LREQ	10FCR/24FHR/17STR/46LIFE/16MANA/6MREG/98ED
6/Belt/56LREQ	10FCR/24FHR/15STR/28LIFE/13MANA/19MREG
7/Belt/72LREQ	10FCR/24FHR/20STR/32MANA/6MREG/12ED
8/Belt/45LREQ	10FCR/58LIFE/27MANA/5MREG/29LR/78ED
9/Belt/63LREQ	10FCR/39LIFE/6REP/28MANA/6MREG/24PR
10/Belt/85LREQ	10FCR/28STR/48LIFE/10MANA/7MREG/28LR
11/Belt/5LREQ	10FCR/9STR/45LIFE/23MANA/4MREG
12/Belt/72LREQ	10FCR/18STR/29LIFE/34MANA/4MREG/6FR
13/Belt/44LREQ	10FCR/4STR/42LIFE/30MANA/6MREG
14/Belt/63LREQ	10FCR/1STR/581LIFE/38MANA/4MREG
15/Belt/40LREQ	10FCR/2STR/36LIFE/31MANA/6MREG/19ED
16/Belt/85LREQ	5FCR/24FHR/28STR/9REP/19MANA/19MREG
17/Belt/44LREQ	5FCR/57LIFE/5REP/22MANA/8MREG/26LR
18/Belt/72LREQ	6FCR/24FHR/20STR/9REP/19MANA/6MREG/32ED
19/Belt/63LREQ	6FCR/58LIFE/6REP/31MANA/4MREG/22ED
20/Belt/85LREQ	7FCR/17FHR/27STR/51LIFE/15MANA/7MREG/15FR
21/Belt/4LREQ	7FCR/24FHR/40LIFE/3REP/19MANA/9MREG
22/Belt/40LREQ	7FCR/24FHR/4STR/32LIFE/28MANA/7MREG
23/Belt/44LREQ	7FCR/59LIFE/14MANA/6MREG/30LR/30FR
24/Belt/56LREQ	8FCR/17FHR/11STR/48LIFE/17MANA/5MREG/6OED
25/Belt/72LREQ	8FCR/17FHR/20STR/60LIFE/18MANA/5MREG/15ED
26/Belt/63LREQ	8FCR/24FHR/57LIFE/6REP/16MANA/10MREG/46ED
27/Belt/35LREQ	8FCR/24FHR/14MANA/19MREG/23PR/16LR
28/Belt/44LREQ	8FCR/24FHR/58LIFE/35MANA/19MREG
29/Belt/85LREQ	8FCR/25STR/35LIFE/14MANA/4MREG/28PR/28FR
30/Belt/85LREQ	8FCR/23STR/46LIFE/39MANA/6MREG
31/Belt/72LREQ	8FCR/17STR/49LIFE/26MANA/7MREG
32/Belt/85LREQ	8FCR/29STR/45LIFE/7REP/12MANA/6MREG/17FR
33/Belt/56LREQ	8FCR/15STR/23LIFE/5REP/31MANA/7MREG
34/Belt/85LREQ	9FCR/10FHR/28STR/41LIFE/10MANA/7MREG/22FR
35/Belt/51LREQ	9FCR/17FHR/43LIFE/5REP/31MANA/5MREG
36/Belt/72LREQ	9FCR/17FHR/17STR/58LIFE/18MANA/19MREG/89ED
37/Belt/72LREQ	9FCR/17FHR/18STR/38LIFE/21MANA/5MREG
38/Belt/63LREQ	9FCR/24FHR/40LIFE/6REP/20MANA/6MREG/46ED
39/Belt/49LREQ	9FCR/24FHR/57LIFE/3REP/15MANA/10MREG/83ED
40/Belt/72LREQ	9FCR/24FHR/20STR/45LIFE/10MANA/9MREG/5PR
41/Belt/72LREQ	9FCR/24FHR/19STR/46LIFE/14MANA/4MREG/36ED
42/Belt/56LREQ	9FCR/15STR/39LIFE/32MANA/9MREG
43/Belt/85LREQ	9FCR/27STR/44LIFE/32MANA/8MREG
44/Belt/85LREQ	9FCR/29STR/24LIFE/6REP/20MANA/5MREG/22PR
